screen_id,trial_index,participant,gender,exp_duration,rt,phase,order,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d2_t,d1_c,d2_c,d1_d,d2_d,d1_name,d2_name,choice
choice_trial,123,11,Male,1404017.5999999642,2.706,choice,bww,catch,NA,microwave ovens,75,55,50,15,10,40,1,NA,NA,NA,NA,NA,NA,Warranty,Cooking power,w
choice_trial,125,11,Male,1404017.5999999642,2.269,choice,ctd,repulsion_1,2,washing machines,NA,NA,NA,NA,NA,NA,2,30,100,40,90,25,100,Average lifespan,Energy savings,d
choice_trial,127,11,Male,1404017.5999999642,1.947,choice,tcd,attraction_2,1,laptops,NA,NA,NA,NA,NA,NA,2,60,50,50,60,60,40,Processing speed,Memory (RAM),c
choice_trial,129,11,Male,1404017.5999999642,1.524,choice,cdt,repulsion_2,1,laptops,NA,NA,NA,NA,NA,NA,1,100,30,90,40,100,20,Processing speed,Memory (RAM),c
choice_trial,131,11,Male,1404017.5999999642,1.833,choice,wbw,catch,NA,washing machines,80,70,30,10,15,20,1,NA,NA,NA,NA,NA,NA,Average lifespan,Energy savings,b
choice_trial,133,11,Male,1404017.5999999642,1.984,choice,cdt,attraction_2,1,washing machines,NA,NA,NA,NA,NA,NA,2,60,50,50,60,60,40,Average lifespan,Energy savings,d
choice_trial,135,11,Male,1404017.5999999642,2.607,choice,tdc,attraction_1,2,televisions,NA,NA,NA,NA,NA,NA,1,50,60,60,50,45,60,Screen size,Average lifespan,t
choice_trial,137,11,Male,1404017.5999999642,2.808,choice,tdc,attraction_1,1,washing machines,NA,NA,NA,NA,NA,NA,1,60,50,50,60,60,45,Average lifespan,Energy savings,c
choice_trial,139,11,Male,1404017.5999999642,4.413,choice,bww,catch,NA,televisions,85,75,40,50,30,25,1,NA,NA,NA,NA,NA,NA,Screen size,Average lifespan,w
choice_trial,141,11,Male,1404017.5999999642,2.026,choice,ctd,attraction_1,1,televisions,NA,NA,NA,NA,NA,NA,1,60,50,50,60,60,45,Screen size,Average lifespan,c
choice_trial,143,11,Male,1404017.5999999642,5.488,choice,wwb,catch,NA,washing machines,95,55,5,20,35,35,1,NA,NA,NA,NA,NA,NA,Average lifespan,Energy savings,b
choice_trial,145,11,Male,1404017.5999999642,2.988,choice,dtc,attraction_1,1,microwave ovens,NA,NA,NA,NA,NA,NA,1,60,50,50,60,60,45,Warranty,Cooking power,c
choice_trial,147,11,Male,1404017.5999999642,2.363,choice,wwb,catch,NA,televisions,75,90,20,10,45,15,2,NA,NA,NA,NA,NA,NA,Screen size,Average lifespan,b
choice_trial,149,11,Male,1404017.5999999642,2.314,choice,tdc,repulsion_1,1,washing machines,NA,NA,NA,NA,NA,NA,1,100,30,90,40,100,25,Average lifespan,Energy savings,c
choice_trial,151,11,Male,1404017.5999999642,4.848,choice,wbw,catch,NA,laptops,80,65,15,5,30,35,1,NA,NA,NA,NA,NA,NA,Processing speed,Memory (RAM),b
choice_trial,153,11,Male,1404017.5999999642,3.841,choice,dct,attraction_2,1,microwave ovens,NA,NA,NA,NA,NA,NA,2,60,50,50,60,60,40,Warranty,Cooking power,c
