"success","timeout","failed_images","failed_audio","failed_video","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","ppt_id","age","race","ethnicity","gender","exp_duration","rt","view_history","stimulus","response","phase","order","effect","t_high","category","d1_best","d2_best","d1_worst1","d2_worst1","d1_worst2","d2_worst2","first_dim","d1_t","d1_c","d1_d","d2_t","d2_c","d2_d","d1_name","d2_name","strategy_response","question_order"
"","","","","","rating_trial","survey-html-form","30","974887","0.0-3.0-1.13","53","1","2025-04-11 14:19:37","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en,en-US","3fve1ydw4mezqu8","62","[""Black or African-American""]","No","Male","3304820.899999976","23421","","","{""price_1"":""670"",""price_2"":""660"",""price_3"":""680""}","rating","tdc","repulsion_1","1","televisions","null","null","null","null","null","null","1","100","90","100","30","40","25","Screen size","Average lifespan","",""
"","","","","","rating_trial_setup","html-keyboard-response","31","975194","0.0-3.0-0.14","53","1","2025-04-11 14:19:37","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en,en-US","3fve1ydw4mezqu8","62","[""Black or African-American""]","No","Male","3304820.899999976","null","","<p></p>","null","rating","dct","repulsion_1","2","microwave ovens","null","null","null","null","null","null","2","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","32","997455","0.0-3.0-1.14","53","1","2025-04-11 14:19:37","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en,en-US","3fve1ydw4mezqu8","62","[""Black or African-American""]","No","Male","3304820.899999976","22252","","","{""price_1"":""680"",""price_2"":""670"",""price_3"":""675""}","rating","dct","repulsion_1","2","microwave ovens","null","null","null","null","null","null","2","30","40","25","100","90","100","Warranty","Cooking power","",""
"","","","","","rating_trial_setup","html-keyboard-response","33","997772","0.0-3.0-0.15","53","1","2025-04-11 14:19:37","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en,en-US","3fve1ydw4mezqu8","62","[""Black or African-American""]","No","Male","3304820.899999976","null","","<p></p>","null","rating","tcd","attraction_1","2","washing machines","null","null","null","null","null","null","2","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","34","2107722","0.0-3.0-1.15","53","1","2025-04-11 14:19:37","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en,en-US","3fve1ydw4mezqu8","62","[""Black or African-American""]","No","Male","3304820.899999976","1109941","","","{""price_1"":""680"",""price_2"":""680"",""price_3"":""670""}","rating","tcd","attraction_1","2","washing machines","null","null","null","null","null","null","2","50","60","45","60","50","60","Average lifespan","Energy savings","",""
"","","","","","rating_trial_setup","html-keyboard-response","35","2108045","0.0-3.0-0.16","53","1","2025-04-11 14:19:37","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en,en-US","3fve1ydw4mezqu8","62","[""Black or African-American""]","No","Male","3304820.899999976","null","","<p></p>","null","rating","bww","catch","null","microwave ovens","95","80","15","25","45","5","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","36","2134545","0.0-3.0-1.16","53","1","2025-04-11 14:19:37","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en,en-US","3fve1ydw4mezqu8","62","[""Black or African-American""]","No","Male","3304820.899999976","26490","","","{""price_1"":""820"",""price_2"":""400"",""price_3"":""360""}","rating","bww","catch","null","microwave ovens","95","80","15","25","45","5","1","null","null","null","null","null","null","Warranty","Cooking power","",""
"","","","","","rating_trial_setup","html-keyboard-response","37","2134868","0.0-3.0-0.17","53","1","2025-04-11 14:19:37","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en,en-US","3fve1ydw4mezqu8","62","[""Black or African-American""]","No","Male","3304820.899999976","null","","<p></p>","null","rating","dct","attraction_1","1","microwave ovens","null","null","null","null","null","null","2","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","38","2158269","0.0-3.0-1.17","53","1","2025-04-11 14:19:37","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en,en-US","3fve1ydw4mezqu8","62","[""Black or African-American""]","No","Male","3304820.899999976","23393","","","{""price_1"":""630"",""price_2"":""650"",""price_3"":""640""}","rating","dct","attraction_1","1","microwave ovens","null","null","null","null","null","null","2","60","50","60","50","60","45","Warranty","Cooking power","",""
"","","","","","rating_trial_setup","html-keyboard-response","39","2158590","0.0-3.0-0.18","53","1","2025-04-11 14:19:37","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en,en-US","3fve1ydw4mezqu8","62","[""Black or African-American""]","No","Male","3304820.899999976","null","","<p></p>","null","rating","dtc","repulsion_2","2","televisions","null","null","null","null","null","null","1","","","","","","","","","",""
