participant,screen_id,trial_index,time_elapsed,internal_node_id,condition,user_agent,device,browser,ppt_id,gender,other_countries,prev_study,exp_duration,view_history,rt,stimulus,response,phase,order,set,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d1_c,d1_d,d2_t,d2_c,d2_d,d1_name,d2_name,choice
47,choice_trial,65,309571,0.0-4.0-1.30,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,4.679,NA,C,choice,wwb,trinary,catch,NA,washing machines,55,60,40,5,25,35,1,NA,NA,NA,NA,NA,NA,Average lifespan,Energy savings,b
47,choice_trial,67,312589,0.0-4.0-1.31,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,2.707,NA,A,choice,bw,binary,catch,NA,washing machines,90,85,15,50,NA,NA,1,NA,NA,NA,NA,NA,NA,Average lifespan,Energy savings,b
47,choice_trial,69,316638,0.0-4.0-1.32,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,3.738,NA,B,choice,ct,binary,attraction,NA,washing machines,NA,NA,NA,NA,NA,NA,1,60,50,NA,50,60,NA,Average lifespan,Energy savings,t
47,choice_trial,71,319833,0.0-4.0-1.33,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,2.884,NA,A,choice,cdt,trinary,repulsion_B,1,washing machines,NA,NA,NA,NA,NA,NA,1,90,100,80,40,30,40,Average lifespan,Energy savings,c
47,choice_trial,73,323714,0.0-4.0-1.34,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,3.571,NA,B,choice,wbw,trinary,catch,NA,televisions,80,95,30,10,50,5,1,NA,NA,NA,NA,NA,NA,Screen size,Average lifespan,b
47,choice_trial,75,328287,0.0-4.0-1.35,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,4.262,NA,A,choice,ct,binary,repulsion,1,laptops,NA,NA,NA,NA,NA,NA,2,100,90,NA,30,40,NA,Processing speed,Memory (RAM),c
47,choice_trial,77,331491,0.0-4.0-1.36,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,2.894,NA,B,choice,tc,binary,repulsion,2,microwave ovens,NA,NA,NA,NA,NA,NA,2,30,40,NA,100,90,NA,Warranty,Cooking power,c
47,choice_trial,79,335011,0.0-4.0-1.37,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,3.21,NA,B,choice,dtc,trinary,attraction,1,laptops,NA,NA,NA,NA,NA,NA,1,60,50,60,50,60,40,Processing speed,Memory (RAM),t
47,choice_trial,81,337901,0.0-4.0-1.38,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,2.576,NA,B,choice,ct,binary,repulsion,2,washing machines,NA,NA,NA,NA,NA,NA,2,30,40,NA,100,90,NA,Average lifespan,Energy savings,t
47,choice_trial,83,343107,0.0-4.0-1.39,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,4.893,NA,A,choice,ct,binary,repulsion,2,televisions,NA,NA,NA,NA,NA,NA,2,30,40,NA,100,90,NA,Screen size,Average lifespan,c
47,choice_trial,85,346385,0.0-4.0-1.40,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,2.967,NA,A,choice,tdc,trinary,repulsion_B,2,laptops,NA,NA,NA,NA,NA,NA,2,40,30,40,90,100,80,Processing speed,Memory (RAM),t
47,choice_trial,87,349359,0.0-4.0-1.41,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,2.665,NA,C,choice,wwb,trinary,catch,NA,laptops,75,50,5,35,15,45,2,NA,NA,NA,NA,NA,NA,Processing speed,Memory (RAM),b
47,choice_trial,89,354326,0.0-4.0-1.42,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,4.656,NA,A,choice,bw,binary,catch,NA,microwave ovens,70,75,45,45,NA,NA,1,NA,NA,NA,NA,NA,NA,Warranty,Cooking power,b
